,state_int,region_int,GDPcont_t0
0,0,0,0.03919354838709677
1,3,0,0.047580645161290284
2,9,0,0.19209677419354843
3,10,0,0.3709677419354838
4,17,0,0.11532258064516131
5,18,0,0.07177419354838711
6,24,0,0.09016129032258068
7,33,0,0.2011290322580645
8,40,0,0.1635483870967742
9,42,0,0.1453225806451613
10,46,0,0.1554838709677419
11,48,0,0.07193548387096775
12,1,1,0.12000000000000005
13,4,1,0.7093548387096776
14,11,1,0.09806451612903226
15,28,1,0.21080645161290326
16,37,1,0.20096774193548386
17,47,1,0.9474193548387093
18,2,2,0.2311290322580645
19,31,2,0.12112903225806451
20,36,2,0.09354838709677417
21,43,2,0.21016129032258057
22,5,3,0.2683870967741935
23,12,3,0.11935483870967746
24,26,3,0.10483870967741937
25,44,3,0.31
26,50,3,0.08387096774193549
27,6,4,0.3138709677419356
28,19,4,0.03048387096774194
29,21,4,0.25951612903225807
30,29,4,0.212741935483871
31,39,4,0.08806451612903224
32,45,4,0.09451612903225809
33,7,5,0.07096774193548387
34,8,5,0.13548387096774198
35,20,5,0.195
36,30,5,0.18629032258064518
37,32,5,0.4658064516129034
38,38,5,0.4182258064516127
39,13,6,0.14370967741935486
40,14,6,0.06564516129032258
41,22,6,0.09822580645161288
42,35,6,0.11048387096774195
43,49,6,0.19758064516129037
44,15,7,0.09580645161290322
45,16,7,-0.014838709677419291
46,23,7,0.13499999999999998
47,25,7,0.1267741935483871
48,27,7,0.15612903225806454
49,34,7,0.13854838709677417
50,41,7,0.12370967741935482
